Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
VN,*,*,*,10.0000,VAT,1,1,1,
US,*,*,*,0.0000,US Tax,1,0,0,
US,CA,*,*,7.2500,CA Tax,2,0,0,
US,NY,*,*,8.0000,NY Tax,2,0,0,
US,TX,*,*,6.2500,TX Tax,2,0,0,
US,FL,*,*,6.0000,FL Tax,2,0,0,
US,WA,*,*,6.5000,WA Tax,2,0,0,
GB,*,*,*,20.0000,VAT,1,1,1,
GB,*,*,*,5.0000,VAT,1,1,1,reduced-rate
GB,*,*,*,0.0000,VAT,1,1,1,zero-rate
DE,*,*,*,19.0000,MwSt,1,1,1,
FR,*,*,*,20.0000,TVA,1,1,1,
IT,*,*,*,22.0000,IVA,1,1,1,
ES,*,*,*,21.0000,IVA,1,1,1,
NL,*,*,*,21.0000,BTW,1,1,1,
SE,*,*,*,25.0000,Moms,1,1,1,
NO,*,*,*,25.0000,MVA,1,1,1,
DK,*,*,*,25.0000,Moms,1,1,1,
JP,*,*,*,10.0000,Tax,1,1,1,
KR,*,*,*,10.0000,VAT,1,1,1,
SG,*,*,*,9.0000,GST,1,1,1,
TH,*,*,*,7.0000,VAT,1,1,1,
MY,*,*,*,8.0000,SST,1,1,1,
PH,*,*,*,12.0000,VAT,1,1,1,
ID,*,*,*,11.0000,PPN,1,1,1,
AU,*,*,*,10.0000,GST,1,1,1,
NZ,*,*,*,15.0000,GST,1,1,1,
CA,*,*,*,5.0000,GST,1,0,1,
CA,ON,*,*,13.0000,HST,2,0,1,
CA,BC,*,*,12.0000,HST,2,0,1,
IN,*,*,*,18.0000,GST,1,1,1,
BR,*,*,*,17.0000,ICMS,1,1,1,
